STT,MAQUANCHAR,TEN_QUANHUYEN,MA_TINH,CODE_TINH,TEN_DAY_DU,TINH_THANH,
202,GLKC,HUYỆN KÔNG CHRO,GIA LAI_GLI,GLI,HUYỆN KÔNG CHRO-GLKC,,
203,GLMY,HUYỆN MANG YANG,GIA LAI_GLI,GLI,HUYỆN MANG YANG-GLMY,,
204,GLCP,HUYỆN CHƯ PĂH,GIA LAI_GLI,GLI,HUYỆN CHƯ PĂH-GLCP,,
205,GLIP,HUYỆN IA PA,GIA LAI_GLI,GLI,HUYỆN IA PA-GLIP,,
206,GLCH,HUYỆN CHƯ PƯH,GIA LAI_GLI,GLI,HUYỆN CHƯ PƯH-GLCH,,
207,GLAK,THỊ XÃ AN KHÊ,GIA LAI_GLI,GLI,THỊ XÃ AN KHÊ-GLAK,,
208,GLAP,THỊ XÃ AYUN PA,GIA LAI_GLI,GLI,THỊ XÃ AYUN PA-GLAP,,
256,HGHP,HUYỆN HOÀNG SU PHÌ,HA GIANG_HGG,HGG,HUYỆN HOÀNG SU PHÌ-HGHP,,
257,HGQB,HUYỆN QUẢN BẠ,HA GIANG_HGG,HGG,HUYỆN QUẢN BẠ-HGQB,,
258,HGVX,HUYỆN VỊ XUYÊN,HA GIANG_HGG,HGG,HUYỆN VỊ XUYÊN-HGVX,,
259,HGBM,HUYỆN BẮC MÊ,HA GIANG_HGG,HGG,HUYỆN BẮC MÊ-HGBM,,
260,HGXM,HUYỆN XÍN MẦN,HA GIANG_HGG,HGG,HUYỆN XÍN MẦN-HGXM,,
261,HGBQ,HUYỆN BẮC QUANG,HA GIANG_HGG,HGG,HUYỆN BẮC QUANG-HGBQ,,
262,HGHG,THỊ XÃ HÀ GIANG,HA GIANG_HGG,HGG,THỊ XÃ HÀ GIANG-HGHG,,
263,HGDV,HUYỆN ĐỒNG VĂN,HA GIANG_HGG,HGG,HUYỆN ĐỒNG VĂN-HGDV,,
264,HGYM,HUYỆN YÊN MINH,HA GIANG_HGG,HGG,HUYỆN YÊN MINH-HGYM,,
265,HGMV,HUYỆN MÈO VẠC,HA GIANG_HGG,HGG,HUYỆN MÈO VẠC-HGMV,,
266,HGBH,HUYỆN QUANG BÌNH,HA GIANG_HGG,HGG,HUYỆN QUANG BÌNH-HGBH,,
298,HMDT,HUYỆN DUY TIÊN,HA NAM_HNM,HNM,HUYỆN DUY TIÊN-HMDT,,
299,HMKB,HUYỆN KIM BẢNG,HA NAM_HNM,HNM,HUYỆN KIM BẢNG-HMKB,,
300,HMLN,HUYỆN LÝ NHÂN,HA NAM_HNM,HNM,HUYỆN LÝ NHÂN-HMLN,,
301,HMPL,THỊ XÃ PHỦ LÝ,HA NAM_HNM,HNM,THỊ XÃ PHỦ LÝ-HMPL,,
302,HMTL,HUYỆN THANH LIÊM,HA NAM_HNM,HNM,HUYỆN THANH LIÊM-HMTL,,
303,HMBL,HUYỆN BÌNH LỤC,HA NAM_HNM,HNM,HUYỆN BÌNH LỤC-HMBL,,
267,HNHK,QUẬN HOÀN KIẾM,HA NOI_HNI,HNI,QUẬN HOÀN KIẾM-HNHK,,
268,HNBV,HUYỆN BA VÌ,HA NOI_HNI,HNI,HUYỆN BA VÌ-HNBV,,
269,HNHC,HUYỆN HOÀI ĐỨC,HA NOI_HNI,HNI,HUYỆN HOÀI ĐỨC-HNHC,,
270,HNHM,QUẬN HOÀNG MAI,HA NOI_HNI,HNI,QUẬN HOÀNG MAI-HNHM,,
271,HNTT,HUYỆN THẠCH THẤT,HA NOI_HNI,HNI,HUYỆN THẠCH THẤT-HNTT,,
272,HNCM,HUYỆN CHƯƠNG MỸ,HA NOI_HNI,HNI,HUYỆN CHƯƠNG MỸ-HNCM,,
273,HNSS,HUYỆN SÓC SƠN,HA NOI_HNI,HNI,HUYỆN SÓC SƠN-HNSS,,
274,HNGL,HUYỆN GIA LÂM,HA NOI_HNI,HNI,HUYỆN GIA LÂM-HNGL,,
275,HNHT,QUẬN HAI BÀ TRƯNG,HA NOI_HNI,HNI,QUẬN HAI BÀ TRƯNG-HNHT,,
276,HNTH,QUẬN TÂY HỒ,HA NOI_HNI,HNI,QUẬN TÂY HỒ-HNTH,,
277,HNML,HUYỆN MÊ LINH,HA NOI_HNI,HNI,HUYỆN MÊ LINH-HNML,,
278,HNTI,HUYỆN THANH TRÌ,HA NOI_HNI,HNI,HUYỆN THANH TRÌ-HNTI,,
279,HNUH,HUYỆN ỨNG HÒA,HA NOI_HNI,HNI,HUYỆN ỨNG HÒA-HNUH,,
280,HNCG,QUẬN CẦU GIẤY,HA NOI_HNI,HNI,QUẬN CẦU GIẤY-HNCG,,
281,HNPT,HUYỆN PHÚC THỌ,HA NOI_HNI,HNI,HUYỆN PHÚC THỌ-HNPT,,
282,HNTO,HUYỆN THANH OAI,HA NOI_HNI,HNI,HUYỆN THANH OAI-HNTO,,
283,HNMD,HUYỆN MỸ ĐỨC,HA NOI_HNI,HNI,HUYỆN MỸ ĐỨC-HNMD,,
284,HNST,THỊ XÃ SƠN TÂY,HA NOI_HNI,HNI,THỊ XÃ SƠN TÂY-HNST,,
285,HNDP,HUYỆN ĐAN PHƯỢNG,HA NOI_HNI,HNI,HUYỆN ĐAN PHƯỢNG-HNDP,,
286,HNLB,QUẬN LONG BIÊN,HA NOI_HNI,HNI,QUẬN LONG BIÊN-HNLB,,
287,HNQO,HUYỆN QUỐC OAI,HA NOI_HNI,HNI,HUYỆN QUỐC OAI-HNQO,,
288,HNBD,QUẬN BA ĐÌNH,HA NOI_HNI,HNI,QUẬN BA ĐÌNH-HNBD,,
289,HNTX,QUẬN THANH XUÂN,HA NOI_HNI,HNI,QUẬN THANH XUÂN-HNTX,,
290,HNDD,QUẬN ĐỐNG ĐA,HA NOI_HNI,HNI,QUẬN ĐỐNG ĐA-HNDD,,
291,HNNL,QUẬN NAM TỪ LIÊM,HA NOI_HNI,HNI,QUẬN NAM TỪ LIÊM-HNNL,,
292,HNBL,QUẬN BẮC TỪ LIÊM,HA NOI_HNI,HNI,QUẬN BẮC TỪ LIÊM-HNBL,,
293,HNPX,HUYỆN PHÚ XUYÊN,HA NOI_HNI,HNI,HUYỆN PHÚ XUYÊN-HNPX,,
294,HNDA,HUYỆN ĐÔNG ANH,HA NOI_HNI,HNI,HUYỆN ĐÔNG ANH-HNDA,,
296,HNHD,TP HÀ ĐÔNG,HA NOI_HNI,HNI,TP HÀ ĐÔNG-HNHD,,
297,HNTN,HUYỆN THƯỜNG TÍN,HA NOI_HNI,HNI,HUYỆN THƯỜNG TÍN-HNTN,,
319,HTVQ,HUYỆN VŨ QUANG,HA TINH_HTH,HTH,HUYỆN VŨ QUANG-HTVQ,,
320,HTDT,HUYỆN ĐỨC THỌ,HA TINH_HTH,HTH,HUYỆN ĐỨC THỌ-HTDT,,
321,HTCL,HUYỆN CAN LỘC,HA TINH_HTH,HTH,HUYỆN CAN LỘC-HTCL,,
322,HTLH,HUYỆN LỘC HÀ,HA TINH_HTH,HTH,HUYỆN LỘC HÀ-HTLH,,
323,HTNX,HUYỆN NGHI XUÂN,HA TINH_HTH,HTH,HUYỆN NGHI XUÂN-HTNX,,
324,HTHS,HUYỆN HƯƠNG SƠN,HA TINH_HTH,HTH,HUYỆN HƯƠNG SƠN-HTHS,,
325,HTHK,HUYỆN HƯƠNG KHÊ,HA TINH_HTH,HTH,HUYỆN HƯƠNG KHÊ-HTHK,,
326,HTCX,HUYỆN CẨM XUYÊN,HA TINH_HTH,HTH,HUYỆN CẨM XUYÊN-HTCX,,
327,HTHT,THÀNH PHỐ HÀ TĨNH,HA TINH_HTH,HTH,THÀNH PHỐ HÀ TĨNH-HTHT,,
328,HTTH,HUYỆN THẠCH HÀ,HA TINH_HTH,HTH,HUYỆN THẠCH HÀ-HTTH,,
329,HTKH,HUYỆN KỲ ANH,HA TINH_HTH,HTH,HUYỆN KỲ ANH-HTKH,,
330,HTHL,THỊ XÃ HỒNG LĨNH,HA TINH_HTH,HTH,THỊ XÃ HỒNG LĨNH-HTHL,,
331,HTKA,THỊ XÃ KỲ ANH,HA TINH_HTH,HTH,THỊ XÃ KỲ ANH-HTKA,,
244,HDHD,TP HẢI DƯƠNG,HAI DUONG_HDG,HDG,TP HẢI DƯƠNG-HDHD,,
245,HDNG,HUYỆN NINH GIANG,HAI DUONG_HDG,HDG,HUYỆN NINH GIANG-HDNG,,
246,HDTK,HUYỆN TỨ KỲ,HAI DUONG_HDG,HDG,HUYỆN TỨ KỲ-HDTK,,
247,HDTH,HUYỆN THANH HÀ ,HAI DUONG_HDG,HDG,HUYỆN THANH HÀ -HDTH,,
248,HDCG,HUYỆN CẨM GIÀNG,HAI DUONG_HDG,HDG,HUYỆN CẨM GIÀNG-HDCG,,
249,HDTM,HUYỆN THANH MIỆN,HAI DUONG_HDG,HDG,HUYỆN THANH MIỆN-HDTM,,
250,HDNS,HUYỆN NAM SÁCH,HAI DUONG_HDG,HDG,HUYỆN NAM SÁCH-HDNS,,
251,HDKM,HUYỆN KINH MÔN,HAI DUONG_HDG,HDG,HUYỆN KINH MÔN-HDKM,,
252,HDCL,HUYỆN CHÍ LINH,HAI DUONG_HDG,HDG,HUYỆN CHÍ LINH-HDCL,,
253,HDBG,HUYỆN BÌNH GIANG,HAI DUONG_HDG,HDG,HUYỆN BÌNH GIANG-HDBG,,
254,HDGL,HUYỆN GIA LỘC,HAI DUONG_HDG,HDG,HUYỆN GIA LỘC-HDGL,,
255,HDKT,HUYỆN KIM THÀNH ,HAI DUONG_HDG,HDG,HUYỆN KIM THÀNH -HDKT,,
304,HPHB,QUẬN HỒNG BÀNG,HAI PHONG_HPG,HPG,QUẬN HỒNG BÀNG-HPHB,,
305,HPDS,QUẬN ĐỒ SƠN,HAI PHONG_HPG,HPG,QUẬN ĐỒ SƠN-HPDS,,
306,HPLC,QUẬN LÊ CHÂN,HAI PHONG_HPG,HPG,QUẬN LÊ CHÂN-HPLC,,
307,HPAD,HUYỆN AN DƯƠNG,HAI PHONG_HPG,HPG,HUYỆN AN DƯƠNG-HPAD,,
308,HPBV,HUYỆN ĐẢO BẠCH LONG VĨ,HAI PHONG_HPG,HPG,HUYỆN ĐẢO BẠCH LONG VĨ-HPBV,,
309,HPKT,HUYỆN KIẾN THỤY,HAI PHONG_HPG,HPG,HUYỆN KIẾN THỤY-HPKT,,
310,HPDK,QUẬN DƯƠNG KINH,HAI PHONG_HPG,HPG,QUẬN DƯƠNG KINH-HPDK,,
311,HPAL,HUYỆN AN LÃO,HAI PHONG_HPG,HPG,HUYỆN AN LÃO-HPAL,,
312,HPVB,HUYỆN VĨNH BẢO,HAI PHONG_HPG,HPG,HUYỆN VĨNH BẢO-HPVB,,
313,HPKA,QUẬN KIẾN AN,HAI PHONG_HPG,HPG,QUẬN KIẾN AN-HPKA,,
314,HPCH,HUYỆN ĐẢO CÁT HẢI,HAI PHONG_HPG,HPG,HUYỆN ĐẢO CÁT HẢI-HPCH,,
315,HPTN,HUYỆN THỦY NGUYÊN,HAI PHONG_HPG,HPG,HUYỆN THỦY NGUYÊN-HPTN,,
316,HPNQ,QUẬN NGÔ QUYỀN,HAI PHONG_HPG,HPG,QUẬN NGÔ QUYỀN-HPNQ,,
317,HPTL,HUYỆN TIÊN LÃNG,HAI PHONG_HPG,HPG,HUYỆN TIÊN LÃNG-HPTL,,
318,HPHA,QUẬN HẢI AN,HAI PHONG_HPG,HPG,QUẬN HẢI AN-HPHA,,
340,HGVT,TP. VỊ THANH,HAU GIANG_HUG,HUG,TP. VỊ THANH-HGVT,,
341,HGCA,HUYỆN CHÂU THÀNH A,HAU GIANG_HUG,HUG,HUYỆN CHÂU THÀNH A-HGCA,,
342,HGLY,HUYỆN LONG MỸ,HAU GIANG_HUG,HUG,HUYỆN LONG MỸ-HGLY,,
343,HGCT,HUYỆN CHÂU THÀNH ,HAU GIANG_HUG,HUG,HUYỆN CHÂU THÀNH -HGCT,,
344,HGVY,HUYỆN VỊ THỦY,HAU GIANG_HUG,HUG,HUYỆN VỊ THỦY-HGVY,,
345,HGNB,THỊ XÃ NGÃ BẢY,HAU GIANG_HUG,HUG,THỊ XÃ NGÃ BẢY-HGNB,,
346,HGPH,HUYỆN PHỤNG HIỆP,HAU GIANG_HUG,HUG,HUYỆN PHỤNG HIỆP-HGPH,,
347,HGLM,THỊ XÃ LONG MỸ,HAU GIANG_HUG,HUG,THỊ XÃ LONG MỸ-HGLM,,
220,HCQ6,QUẬN 6,HO CHI MINH_HCM,HCM,QUẬN 6-HCQ6,,
221,HCQ5,QUẬN 5,HO CHI MINH_HCM,HCM,QUẬN 5-HCQ5,,
222,HCQ3,QUẬN 3,HO CHI MINH_HCM,HCM,QUẬN 3-HCQ3,,
223,HCTB,QUẬN TÂN BÌNH,HO CHI MINH_HCM,HCM,QUẬN TÂN BÌNH-HCTB,,
224,HCCC,HUYỆN CỦ CHI,HO CHI MINH_HCM,HCM,HUYỆN CỦ CHI-HCCC,,
225,HCNB,HUYỆN NHÀ BÈ,HO CHI MINH_HCM,HCM,HUYỆN NHÀ BÈ-HCNB,,
226,HC10,QUẬN 10,HO CHI MINH_HCM,HCM,QUẬN 10-HC10,,
227,HCQ7,QUẬN 7,HO CHI MINH_HCM,HCM,QUẬN 7-HCQ7,,
228,HC12,QUẬN 12,HO CHI MINH_HCM,HCM,QUẬN 12-HC12,,
229,HCQ9,QUẬN 9,HO CHI MINH_HCM,HCM,QUẬN 9-HCQ9,,
230,HCCG,HUYỆN CẦN GIỜ,HO CHI MINH_HCM,HCM,HUYỆN CẦN GIỜ-HCCG,,
231,HCQ1,QUẬN 1,HO CHI MINH_HCM,HCM,QUẬN 1-HCQ1,,
232,HCGV,QUẬN GÒ VẤP,HO CHI MINH_HCM,HCM,QUẬN GÒ VẤP-HCGV,,
233,HC11,QUẬN 11,HO CHI MINH_HCM,HCM,QUẬN 11-HC11,,
234,HCBT,QUẬN BÌNH TÂN,HO CHI MINH_HCM,HCM,QUẬN BÌNH TÂN-HCBT,,
235,HCQ8,QUẬN 8,HO CHI MINH_HCM,HCM,QUẬN 8-HCQ8,,
236,HCQ4,QUẬN 4,HO CHI MINH_HCM,HCM,QUẬN 4-HCQ4,,
237,HCBC,HUYỆN BÌNH CHÁNH,HO CHI MINH_HCM,HCM,HUYỆN BÌNH CHÁNH-HCBC,,
238,HCTD,QUẬN THỦ ĐỨC,HO CHI MINH_HCM,HCM,QUẬN THỦ ĐỨC-HCTD,,
239,HCBH,QUẬN BÌNH THẠNH,HO CHI MINH_HCM,HCM,QUẬN BÌNH THẠNH-HCBH,,
240,HCPN,QUẬN PHÚ NHUẬN,HO CHI MINH_HCM,HCM,QUẬN PHÚ NHUẬN-HCPN,,
241,HCQ2,QUẬN 2,HO CHI MINH_HCM,HCM,QUẬN 2-HCQ2,,
242,HCTP,QUẬN TÂN PHÚ,HO CHI MINH_HCM,HCM,QUẬN TÂN PHÚ-HCTP,,
243,HCHM,HUYỆN HÓC MÔN,HO CHI MINH_HCM,HCM,HUYỆN HÓC MÔN-HCHM,,
209,HBKS,HUYỆN KỲ SƠN,HOA BINH_HBH,HBH,HUYỆN KỲ SƠN-HBKS,,
210,HBLT,HUYỆN LẠC THỦY,HOA BINH_HBH,HBH,HUYỆN LẠC THỦY-HBLT,,
211,HBKB,HUYỆN KIM BÔI,HOA BINH_HBH,HBH,HUYỆN KIM BÔI-HBKB,,
212,HBTL,HUYỆN TÂN LẠC,HOA BINH_HBH,HBH,HUYỆN TÂN LẠC-HBTL,,
213,HBLN,HUYỆN LƯƠNG SƠN,HOA BINH_HBH,HBH,HUYỆN LƯƠNG SƠN-HBLN,,
214,HBYT,HUYỆN YÊN THỦY,HOA BINH_HBH,HBH,HUYỆN YÊN THỦY-HBYT,,
215,HBCP,HUYỆN CAO PHONG,HOA BINH_HBH,HBH,HUYỆN CAO PHONG-HBCP,,
216,HBDB,HUYỆN ĐÀ BẮC,HOA BINH_HBH,HBH,HUYỆN ĐÀ BẮC-HBDB,,
217,HBLS,HUYỆN LẠC SƠN,HOA BINH_HBH,HBH,HUYỆN LẠC SƠN-HBLS,,
218,HBHB,THỊ XÃ HÒA BÌNH,HOA BINH_HBH,HBH,THỊ XÃ HÒA BÌNH-HBHB,,
219,HBMC,HUYỆN MAI CHÂU,HOA BINH_HBH,HBH,HUYỆN MAI CHÂU-HBMC,,
347,HYPU,HUYỆN PHÙ CỪ,HUNG YEN_HYN,HYN,HUYỆN PHÙ CỪ-HYPU,,
348,HYVL,HUYỆN VĂN LÂM,HUNG YEN_HYN,HYN,HUYỆN VĂN LÂM-HYVL,,
349,HYKC,HUYỆN KHOÁI CHÂU,HUNG YEN_HYN,HYN,HUYỆN KHOÁI CHÂU-HYKC,,
350,HYAT,HUYỆN ÂN THI,HUNG YEN_HYN,HYN,HUYỆN ÂN THI-HYAT,,
351,HYVG,HUYỆN VĂN GIANG,HUNG YEN_HYN,HYN,HUYỆN VĂN GIANG-HYVG,,
352,HYMH,HUYỆN MỸ HÀO,HUNG YEN_HYN,HYN,HUYỆN MỸ HÀO-HYMH,,
353,HYKD,HUYỆN KIM ĐỘNG,HUNG YEN_HYN,HYN,HUYỆN KIM ĐỘNG-HYKD,,
354,HYTL,HUYỆN TIÊN LỮ ,HUNG YEN_HYN,HYN,HUYỆN TIÊN LỮ -HYTL,,
355,HYYM,HUYỆN YÊN MỸ,HUNG YEN_HYN,HYN,HUYỆN YÊN MỸ-HYYM,,
356,HYHY,THỊ XÃ HƯNG YÊN,HUNG YEN_HYN,HYN,THỊ XÃ HƯNG YÊN-HYHY,,
372,KHNT,THÀNH PHỐ NHA TRANG,KHANH HOA_KHA,KHA,THÀNH PHỐ NHA TRANG-KHNT,,
373,KHNH,HUYỆN NINH HÒA,KHANH HOA_KHA,KHA,HUYỆN NINH HÒA-KHNH,,
374,KHKS,HUYỆN KHÁNH SƠN,KHANH HOA_KHA,KHA,HUYỆN KHÁNH SƠN-KHKS,,
375,KHCR,THÀNH PHỐ CAM RANH,KHANH HOA_KHA,KHA,THÀNH PHỐ CAM RANH-KHCR,,
376,KHDK,HUYỆN DIÊN KHÁNH,KHANH HOA_KHA,KHA,HUYỆN DIÊN KHÁNH-KHDK,,
377,KHKV,HUYỆN KHÁNH VĨNH,KHANH HOA_KHA,KHA,HUYỆN KHÁNH VĨNH-KHKV,,
378,KHTS,HUYỆN TRƯỜNG SA,KHANH HOA_KHA,KHA,HUYỆN TRƯỜNG SA-KHTS,,
379,KHCL,HUYỆN CAM LÂM,KHANH HOA_KHA,KHA,HUYỆN CAM LÂM-KHCL,,
380,KHVN,HUYỆN VẠN NINH,KHANH HOA_KHA,KHA,HUYỆN VẠN NINH-KHVN,,
357,KGAB,HUYỆN AN BIÊN,KIEN GIANG_KGG,KGG,HUYỆN AN BIÊN-KGAB,,
358,KGGR,HUYỆN GIỒNG RIỀNG,KIEN GIANG_KGG,KGG,HUYỆN GIỒNG RIỀNG-KGGR,,
359,KGUT,HUYỆN U MINH THƯỢNG,KIEN GIANG_KGG,KGG,HUYỆN U MINH THƯỢNG-KGUT,,
360,KGKL,HUYỆN KIÊN LƯƠNG,KIEN GIANG_KGG,KGG,HUYỆN KIÊN LƯƠNG-KGKL,,
361,KGCT,HUYỆN CHÂU THÀNH,KIEN GIANG_KGG,KGG,HUYỆN CHÂU THÀNH-KGCT,,
362,KGHD,HUYỆN HÒN ĐẤT,KIEN GIANG_KGG,KGG,HUYỆN HÒN ĐẤT-KGHD,,
363,KGGT,HUYÊN GIANG THÀNH,KIEN GIANG_KGG,KGG,HUYÊN GIANG THÀNH-KGGT,,
364,KGVT,HUYỆN VĨNH THUẬN,KIEN GIANG_KGG,KGG,HUYỆN VĨNH THUẬN-KGVT,,
365,KGRG,THÀNH PHỐ RẠCH GIÁ,KIEN GIANG_KGG,KGG,THÀNH PHỐ RẠCH GIÁ-KGRG,,
366,KGTH,HUYỆN TÂN HIỆP,KIEN GIANG_KGG,KGG,HUYỆN TÂN HIỆP-KGTH,,
367,KGPQ,HUYỆN PHÚ QUỐC,KIEN GIANG_KGG,KGG,HUYỆN PHÚ QUỐC-KGPQ,,
368,KGGQ,HUYỆN GÒ QUAO,KIEN GIANG_KGG,KGG,HUYỆN GÒ QUAO-KGGQ,,
369,KGHT,THỊ XÃ HÀ TIÊN,KIEN GIANG_KGG,KGG,THỊ XÃ HÀ TIÊN-KGHT,,
370,KGKH,HUYỆN KIÊN HẢI,KIEN GIANG_KGG,KGG,HUYỆN KIÊN HẢI-KGKH,,
371,KGAM,HUYỆN AN MINH,KIEN GIANG_KGG,KGG,HUYỆN AN MINH-KGAM,,
381,KTDH,HUYỆN ĐẮK HÀ,KON TUM_KTM,KTM,HUYỆN ĐẮK HÀ-KTDH,,
382,KTST,HUYỆN SA THẦY,KON TUM_KTM,KTM,HUYỆN SA THẦY-KTST,,
383,KTTR,HUYỆN TU MƠ RÔNG,KON TUM_KTM,KTM,HUYỆN TU MƠ RÔNG-KTTR,,
384,KTKP,HUYỆN KON PLÔNG,KON TUM_KTM,KTM,HUYỆN KON PLÔNG-KTKP,,
385,KTKT,THÀNH PHỐ KON TUM,KON TUM_KTM,KTM,THÀNH PHỐ KON TUM-KTKT,,
386,KTDT,HUYỆN ĐẮK TÔ,KON TUM_KTM,KTM,HUYỆN ĐẮK TÔ-KTDT,,
387,KTNH,HUYỆN NGỌC HỒI,KON TUM_KTM,KTM,HUYỆN NGỌC HỒI-KTNH,,
388,KTKR,HUYỆN KON RẪY,KON TUM_KTM,KTM,HUYỆN KON RẪY-KTKR,,
389,KTDG,HUYỆN ĐẮK GLEI,KON TUM_KTM,KTM,HUYỆN ĐẮK GLEI-KTDG,,
390,KTIH,HUYỆN IA H'DRAI,KON TUM_KTM,KTM,HUYỆN IA H'DRAI-KTIH,,
413,LCTG,HUYỆN TAM ĐƯỜNG,LAI CHAU_LCU,LCU,HUYỆN TAM ĐƯỜNG-LCTG,,
414,LCPT,HUYỆN PHONG THỔ,LAI CHAU_LCU,LCU,HUYỆN PHONG THỔ-LCPT,,
415,LCSH,HUYỆN SÌN HỒ,LAI CHAU_LCU,LCU,HUYỆN SÌN HỒ-LCSH,,
416,LCTN,HUYỆN THAN UYÊN,LAI CHAU_LCU,LCU,HUYỆN THAN UYÊN-LCTN,,
417,LCMT,HUYỆN MƯỜNG TÈ,LAI CHAU_LCU,LCU,HUYỆN MƯỜNG TÈ-LCMT,,
418,LCTU,HUYỆN TÂN UYÊN,LAI CHAU_LCU,LCU,HUYỆN TÂN UYÊN-LCTU,,
419,LCNN,HUYỆN NẬM NHÙN,LAI CHAU_LCU,LCU,HUYỆN NẬM NHÙN-LCNN,,
420,LCLU,THỊ XÃ LAI CHÂU,LAI CHAU_LCU,LCU,THỊ XÃ LAI CHÂU-LCLU,,
421,LDLD,HUYỆN LẠC DƯƠNG,LAM DONG_LDG,LDG,HUYỆN LẠC DƯƠNG-LDLD,,
422,LDBM,HUYỆN BẢO LÂM,LAM DONG_LDG,LDG,HUYỆN BẢO LÂM-LDBM,,
423,LDCT,HUYỆN CÁT TIÊN,LAM DONG_LDG,LDG,HUYỆN CÁT TIÊN-LDCT,,
424,LDDI,HUYỆN DI LINH,LAM DONG_LDG,LDG,HUYỆN DI LINH-LDDI,,
425,LDDH,HUYỆN ĐẠ HUOAI,LAM DONG_LDG,LDG,HUYỆN ĐẠ HUOAI-LDDH,,
426,LDLH,HUYỆN LÂM HÀ,LAM DONG_LDG,LDG,HUYỆN LÂM HÀ-LDLH,,
427,LDDL,THÀNH PHỐ ĐÀ LẠT,LAM DONG_LDG,LDG,THÀNH PHỐ ĐÀ LẠT-LDDL,,
428,LDDA,HUYỆN ĐẠ TẺH,LAM DONG_LDG,LDG,HUYỆN ĐẠ TẺH-LDDA,,
429,LDDR,HUYỆN ĐAM RÔNG,LAM DONG_LDG,LDG,HUYỆN ĐAM RÔNG-LDDR,,
430,LDBL,THỊ XÃ BẢO LỘC,LAM DONG_LDG,LDG,THỊ XÃ BẢO LỘC-LDBL,,
431,LDDD,HUYỆN ĐƠN DƯƠNG,LAM DONG_LDG,LDG,HUYỆN ĐƠN DƯƠNG-LDDD,,
432,LDDT,HUYỆN ĐỨC TRỌNG,LAM DONG_LDG,LDG,HUYỆN ĐỨC TRỌNG-LDDT,,
433,LSVQ,HUYỆN VĂN QUAN,LANG SON_LSN,LSN,HUYỆN VĂN QUAN-LSVQ,,
434,LSHL,HUYỆN HỮU LŨNG,LANG SON_LSN,LSN,HUYỆN HỮU LŨNG-LSHL,,
435,LSCG,HUYỆN CHI LĂNG,LANG SON_LSN,LSN,HUYỆN CHI LĂNG-LSCG,,
436,LSBS,HUYỆN BẮC SƠN,LANG SON_LSN,LSN,HUYỆN BẮC SƠN-LSBS,,
437,LSVL,HUYỆN VĂN LÃNG,LANG SON_LSN,LSN,HUYỆN VĂN LÃNG-LSVL,,
438,LSLB,HUYỆN LỘC BÌNH,LANG SON_LSN,LSN,HUYỆN LỘC BÌNH-LSLB,,
439,LSCL,HUYỆN CAO LỘC,LANG SON_LSN,LSN,HUYỆN CAO LỘC-LSCL,,
440,LSDL,HUYỆN ĐÌNH LẬP,LANG SON_LSN,LSN,HUYỆN ĐÌNH LẬP-LSDL,,
441,LSBG,HUYỆN BÌNH GIA,LANG SON_LSN,LSN,HUYỆN BÌNH GIA-LSBG,,
442,LSLS,THÀNH PHỐ LẠNG SƠN,LANG SON_LSN,LSN,THÀNH PHỐ LẠNG SƠN-LSLS,,
443,LSTD,HUYỆN TRÀNG ĐỊNH,LANG SON_LSN,LSN,HUYỆN TRÀNG ĐỊNH-LSTD,,
404,LCLC,THÀNH PHỐ LÀO CAI,LAO CAI_LCI,LCI,THÀNH PHỐ LÀO CAI-LCLC,,
405,LCSP,HUYỆN SA PA,LAO CAI_LCI,LCI,HUYỆN SA PA-LCSP,,
406,LCMK,HUYỆN MƯỜNG KHƯƠNG,LAO CAI_LCI,LCI,HUYỆN MƯỜNG KHƯƠNG-LCMK,,
407,LCBX,HUYỆN BÁT XÁT,LAO CAI_LCI,LCI,HUYỆN BÁT XÁT-LCBX,,
408,LCVB,HUYỆN VĂN BÀN,LAO CAI_LCI,LCI,HUYỆN VĂN BÀN-LCVB,,
409,LCBH,HUYỆN BẮC HÀ,LAO CAI_LCI,LCI,HUYỆN BẮC HÀ-LCBH,,
410,LCSC,HUYỆN SI MA CAI,LAO CAI_LCI,LCI,HUYỆN SI MA CAI-LCSC,,
411,LCBY,HUYỆN BẢO YÊN,LAO CAI_LCI,LCI,HUYỆN BẢO YÊN-LCBY,,
412,LCBT,HUYỆN BẢO THẮNG,LAO CAI_LCI,LCI,HUYỆN BẢO THẮNG-LCBT,,
390,LATU,HUYỆN TÂN TRỤ,LONG AN_LAN,LAN,HUYỆN TÂN TRỤ-LATU,,
391,LADE,HUYỆN ĐỨC HUỆ,LONG AN_LAN,LAN,HUYỆN ĐỨC HUỆ-LADE,,
392,LACG,HUYỆN CẦN GUỘC,LONG AN_LAN,LAN,HUYỆN CẦN GUỘC-LACG,,
393,LACD,HUYỆN CẦN ĐƯỚC,LONG AN_LAN,LAN,HUYỆN CẦN ĐƯỚC-LACD,,
394,LATA,THỊ XÃ TÂN AN,LONG AN_LAN,LAN,THỊ XÃ TÂN AN-LATA,,
395,LATG,HUYỆN TÂN HƯNG,LONG AN_LAN,LAN,HUYỆN TÂN HƯNG-LATG,,
396,LACT,HUYỆN CHÂU THÀNH,LONG AN_LAN,LAN,HUYỆN CHÂU THÀNH-LACT,,
397,LABL,HUYỆN BẾN LỨC,LONG AN_LAN,LAN,HUYỆN BẾN LỨC-LABL,,
398,LATN,HUYỆN TÂN THẠNH,LONG AN_LAN,LAN,HUYỆN TÂN THẠNH-LATN,,
